,mp-8062,mp-7140,mp-568619,mp-11713,mp-7631,mp-9947,mp-570641,mp-567505,mp-570690,mp-568656,mp-624397,mp-1002206,mp-11714
energy,7.514439582824707,7.510368347167969,7.5127458572387695,7.512736797332764,7.512998104095459,7.513208389282227,7.5153727531433105,7.513362884521484,7.514566421508789,7.5127387046813965,7.514908313751221,6.757855415344238,7.512303352355957
band_gap,0.0,1.0,0.37124318291531727,0.38365992025481244,0.29185737673852125,0.22655689586196578,0.2886064082552772,0.18074282369928465,0.634765651913987,0.38353490844538557,0.4912289443568468,0.6185229358637605,0.5107943949290624
shear_modulus,0.9628390514316432,0.45261235656157645,0.7988677121101975,0.7936644924652092,0.8238594261771591,0.8474941381365854,1.0,0.8640997543931671,0.9552734124645387,0.7937148377177343,0.9738973126219482,0.0,0.7415790637577393
fmax,2.1845580036591467e-06,0.04098197772996151,0.040959770723303285,0.044359255622997994,0.038649934574471696,0.03890208530185946,0.044773414735558494,0.038131789395832706,0.04964637012100242,0.045331354371524406,0.04403150826923829,2.4703345006954726e-07,0.04899834179134138
centroid_id,50,149,135,135,70,68,65,158,90,135,8,193,140
