,mp-6947,mp-546794,mp-1071820,mp-7905,mp-8352,mp-6930,mp-7000,mp-6922,mp-640917,mp-10851,mp-7087,mp-559091,mp-972808,mp-7648,mp-6945,mp-555235,mp-9258,mp-10948,mp-555891,mp-12787,mp-1188220,mp-559550,mp-11684,mp-556961,mp-8059,mp-669426,mp-10064,mp-1021503,mp-673168,mp-546546,mp-1179508,mp-554151,mp-557134,mp-556553,mp-556376,mp-556588,mp-556880,mp-554573,mp-1179454,mp-557837,mp-555147,mp-556662,mp-555483,mp-557873,mp-556994,mp-557118,mp-556985,mp-545488,mp-553881,mp-557244,mp-556788,mp-557653,mp-562490,mp-554089,mp-7029,mp-1398433,mp-556319,mp-555251,mp-545719,mp-600001,mp-639463,mp-559605,mp-557194,mp-556027,mp-638035,mp-556812,mp-559389,mp-554243,mp-559928,mp-32667,mp-558733,mp-561291,mp-555544,mp-560954,mp-558200,mp-985590,mp-560527,mp-556132,mp-638033,mp-555411,mp-1265115,mp-560131,mp-557930,mp-985570,mp-1179447,mp-554397,mp-600002,mp-683947,mp-555676,mp-559313,mp-12350,mp-555740,mp-600000,mp-557465,mp-638038,mp-554543,mp-554665,mp-663422,mp-558366,mp-559860
energy,8.136893272399902,8.35567569732666,7.938460350036621,7.948938846588135,8.346550941467285,8.339120864868164,8.339126586914062,8.34322738647461,5.882571697235107,8.343229293823242,8.34682846069336,8.353818893432617,8.35075855255127,8.349023818969727,8.351984024047852,8.353360176086426,7.807778835296631,8.081335067749023,8.354368209838867,8.336649894714355,8.352885246276855,8.350822448730469,8.306133270263672,8.350229263305664,8.350593566894531,8.348949432373047,7.053384304046631,7.92948055267334,7.634181022644043,8.339324951171875,8.03548812866211,8.353856086730957,8.293383598327637,8.268625259399414,7.974470138549805,8.078262329101562,8.235570907592773,8.355267524719238,8.349370002746582,8.349078178405762,8.273198127746582,8.297025680541992,8.337641716003418,8.316473960876465,8.288951873779297,8.336997032165527,8.326000213623047,7.686808109283447,8.026976585388184,8.221399307250977,8.148077964782715,8.103067398071289,8.349248886108398,8.354108810424805,8.35130786895752,3.8652713298797607,8.25948715209961,8.352086067199707,8.22845458984375,8.342082977294922,8.348987579345703,8.148738861083984,7.090944766998291,7.851720333099365,6.557205677032471,8.070326805114746,8.116579055786133,8.3494873046875,8.340522766113281,8.094696044921875,8.080296516418457,8.231010437011719,8.21310043334961,8.206924438476562,8.294171333312988,8.353421211242676,8.3505859375,8.194145202636719,7.687694549560547,7.825438022613525,8.25119686126709,8.289911270141602,8.332307815551758,8.345337867736816,8.346713066101074,7.72163200378418,8.347464561462402,8.240133285522461,8.144895553588867,8.349526405334473,8.249061584472656,8.322132110595703,8.350624084472656,8.335638046264648,7.097396373748779,8.347811698913574,8.188504219055176,8.180680274963379,7.591473579406738,8.216377258300781
band_gap,4.577929496765137,5.7498884201049805,6.028119087219238,6.123297691345215,6.349905490875244,0.035933494567871094,0.03625953197479248,0.9841256141662598,2.5330593585968018,0.9834546446800232,6.515326023101807,6.180009841918945,5.752406597137451,5.835628032684326,0.12521016597747803,5.79052734375,4.872054100036621,4.566066741943359,5.865400791168213,0.09992611408233643,6.557325839996338,5.855428695678711,0.4827486276626587,0.26153838634490967,6.051764011383057,0.17597806453704834,3.269115447998047,3.921381950378418,5.080281734466553,5.596502304077148,5.236862659454346,6.074567794799805,5.722592353820801,1.2954576015472412,5.671649932861328,5.689149379730225,5.471017837524414,5.560602188110352,6.287311553955078,5.536684989929199,2.6414318084716797,5.722885608673096,0.28614914417266846,5.572522163391113,5.868035793304443,0.26045775413513184,5.856757164001465,0.11006009578704834,5.2984843254089355,6.180079936981201,6.08981466293335,6.154969692230225,6.15245246887207,5.712333679199219,0.20879077911376953,3.539140462875366,5.80615234375,6.037503242492676,5.177065372467041,5.919078350067139,6.364602565765381,5.341236114501953,1.6235451698303223,6.366004467010498,5.09492826461792,3.6218905448913574,5.799816608428955,6.052152156829834,5.861563205718994,4.523337364196777,4.963763236999512,5.170202732086182,5.227879524230957,4.9200239181518555,4.184584617614746,5.777737617492676,6.221654891967773,6.341071128845215,4.189756870269775,6.459121227264404,6.026404857635498,5.622014045715332,0.24184179306030273,0.20313966274261475,6.281706809997559,5.035274028778076,6.128340244293213,5.757697105407715,4.850967884063721,6.2053680419921875,5.401649475097656,0.109261155128479,6.257980823516846,0.44489574432373047,5.397548675537109,6.496893882751465,5.7163166999816895,5.104604721069336,4.994033336639404,5.162713050842285
shear_modulus,201.49866579025684,34.055039016008166,26.323175122382956,30.707046702226947,57.12758061964441,48.04298857094273,47.89713472471027,28.67978671398971,27.72889010296856,28.71780361456554,57.12800400613241,32.918385808257355,29.631058094039997,50.47465769680987,27.59290642639578,33.033031826051776,169.7219438087318,220.00847619698106,49.90189266624168,47.52438221788238,32.35662046591294,36.86668251565998,57.075340003944646,26.654937818214343,35.87943301775599,31.553160649357075,84.35296901244874,101.25848228111784,25.756799099378927,54.314493422533516,114.78950712932874,32.30403116215578,45.07239512724462,33.69697151949134,38.798024184022694,42.97057852500785,35.19518709920841,31.342297174196197,52.80088837854265,31.707094669507526,33.593794767202844,44.535290588417936,41.95417612255328,34.71328814616828,38.70607771934259,31.26387465936362,37.90393773719505,36.643074389987255,47.80958832879884,31.770221289194023,34.92584866736469,43.106825504467594,41.89771673773582,33.027818585117394,27.257885188678667,31.742005266126384,39.322961260985664,33.77879899250897,37.58179481684786,41.2512535026617,44.4157370991748,37.97599303522659,36.54359385006614,34.31153023866311,68.99141715248552,46.254143390538616,42.329817834238796,47.313094693682544,57.569618026923536,214.03902960230576,198.99905460226117,35.16887150621727,36.55385683413074,32.36970563957011,33.67622210883901,27.752274229381847,49.38682932788662,42.47714810035849,36.30063576633222,32.844375961440534,32.15771910119695,37.85802047392717,39.70440452118699,36.205543170408724,41.09388115922228,39.02396223841809,39.04902487724908,33.50499284245382,42.07190766534517,47.6503674133423,53.436724267997064,50.851214699957616,49.432561886721004,32.876594896285084,42.891083253833735,46.572923144888335,34.56896641655562,36.24612304679817,42.01630473945933,32.65406364453596
fmax,0.1459674122555237,0.24887829946087384,0.09049404038307776,0.021309177925465102,1.1895264732316174e-05,0.26609962217925576,0.26442230595127975,0.22474601090186588,0.27348749610466605,0.2235947282723763,0.011293399952370135,0.22903904357599808,0.28487666599180866,0.22563821951311303,0.24477065372997328,0.2508602025900504,0.11896151379492632,0.1001273108338997,0.03539374149476602,0.26603060234687703,0.20591889807466415,0.28001920035501887,0.29252480168175277,0.263481329157988,0.24045627941935593,0.2945887248703022,1.9892471685430264e-06,6.183072441256179e-06,0.34567875988979424,0.3960611620118518,0.12228466084797318,0.26591950147907284,0.5975809766849637,0.33410543079244504,0.2346734871690204,0.3555725917969189,0.13288938169295225,0.25018289725632614,0.18313482417596744,0.2855300967335236,0.3805700018211533,0.4356013314564892,0.3577688908380451,0.16634948071593286,0.5130102950134531,0.37380866363417775,0.5233521568438723,0.09034979350369768,0.20684773056744993,0.17407284766501258,0.2877698893860708,0.21924266914238366,0.31898787846149956,0.2528202930662174,0.2412458538256753,76.53742725450657,0.10724655161399445,0.2835794239846178,0.07770292473669649,0.40074544867899037,0.224927887484172,0.2249900007657548,0.07097847612262308,0.16261087931503956,0.034381395251456816,0.2879166195852479,0.09752642736976809,0.11358523405325092,0.44403066943604763,0.1156595096482803,0.2013280019423475,0.049256738080185096,0.16607402753327857,0.08833233271512402,0.3414117213859808,0.2572501836738304,0.2623829392999788,0.17141691490102742,0.130851090445603,0.24083045128247657,0.11389141437098886,0.05475080757543946,0.3867799930565952,0.25042306847449614,0.3049551273311024,0.16680556611405692,0.2949293264962539,2.0437363473228363,0.13118577016589944,0.2148395533700853,0.07345537545101118,0.2835251565407133,0.22956146299967048,0.3460192441748072,0.15261554672643035,0.26012441671657505,0.18136707838986968,3.3973598758295034,0.1029289906466498,0.08258627793095208
centroid_id,90,53,68,68,41,106,106,83,124,83,41,68,53,9,186,53,110,54,9,106,68,173,11,186,173,186,154,13,138,150,122,173,9,137,53,190,53,53,143,53,124,9,106,53,173,186,173,186,112,68,173,143,173,53,186,165,173,173,138,173,143,190,137,68,91,34,173,9,9,54,155,138,138,138,129,53,143,143,129,68,173,53,106,186,143,160,173,53,160,143,112,106,143,35,190,143,53,138,160,138
