,mp-390,mp-554278,mp-1439,mp-430,mp-9173,mp-655656,mp-2657,mp-1840,mp-1426806,mp-25433,mp-1008677,mp-636827,mp-1445035,mp-34688,mp-766454,mp-553432,mp-1079207,mp-1400963,mp-1102591,mp-572822,mp-25262,mp-1101022,mp-1408285,mp-1041565,mp-1386640,mp-754672,mp-2420244,mp-1102255,mp-849533,mp-756587,mp-754769,mp-1341203,mp-756655,mp-1190753
energy,9.407773971557617,9.415274620056152,9.382136344909668,9.341568946838379,9.359257698059082,9.151225090026855,9.386438369750977,9.397598266601562,9.290661811828613,9.284812927246094,9.112838745117188,9.153059005737305,6.704943656921387,9.410682678222656,9.363253593444824,9.369843482971191,9.113601684570312,9.360294342041016,9.209604263305664,8.917299270629883,9.270604133605957,9.385099411010742,9.26356029510498,9.390974044799805,9.307849884033203,9.396068572998047,9.400842666625977,9.133721351623535,9.333429336547852,9.320808410644531,9.370104789733887,9.288736343383789,9.34528923034668,9.288283348083496
band_gap,0.2564791440963745,0.5503391027450562,0.4367104470729828,0.3200870752334595,0.41648033261299133,0.33137911558151245,0.30576223134994507,0.44319313764572144,0.39162367582321167,0.47810524702072144,0.08699417114257812,0.3885766565799713,0.22878943383693695,0.27344295382499695,0.2551412284374237,0.6596758365631104,0.11292716860771179,0.3393772542476654,0.4558435082435608,0.36647599935531616,0.48344340920448303,0.4219629764556885,0.7335613965988159,0.2962735593318939,0.7370408177375793,0.3924802243709564,0.3273355960845947,0.10105007886886597,0.3948727548122406,0.37241891026496887,0.3245055079460144,0.08658096194267273,0.32221975922584534,0.3976077139377594
shear_modulus,0.44250647391515663,0.4985754008732622,0.759975096143448,0.6838549347938778,0.5009596012277765,0.49326765506570747,0.9379817347359264,0.6846217885374849,0.4446609968194427,0.28382408756258637,0.701585314525214,0.5059061050303261,0.10281769471104174,0.4491949791999942,0.746519814768888,0.11917016254820087,0.7757988251990213,0.6599791216311819,0.826141582487738,0.13662158945099287,0.5569395669543521,0.38352618361917745,0.3582838077925707,0.9269060538983934,0.4689265863162286,0.22201927106423183,0.21938538426523138,0.665839888512189,0.4086627264554862,0.566117252078781,0.8145501470321563,0.4106193290128844,0.6927327960445974,0.7185966626055401
fmax,1.9291813906354154,0.44954425896948574,3.9929380389842937,3.9110580427299952,4.082627533555977,1.9718418016691854,4.514255569606933,8.148534550471567,0.2244697496540674,0.1997964157890549,0.01467705785061504,0.9261612142619976,2.256644506181731,0.4572678046919123,3.0778173002606795,2.405525166950116,1.4098622845504056,4.086541606029056,1.4034356146999767,2.082325808770267,0.15957071432331696,3.6445112454472914,0.32290523909209373,0.21140796077230786,0.9748113645360569,3.1416412509852263,0.4297025281411837,1.730780332872702,0.7186558688691567,0.8606358178983957,8.444153294450375,1.7177748031925746,7.922863119247442,2.3425745819574018
centroid_id,66,80,37,2,135,143,100,25,30,5,28,135,73,66,45,142,190,2,117,14,9,47,107,100,147,70,33,28,30,106,185,79,2,119
