,mp-169,mp-66,mp-2516584,mp-47,mp-48,mp-569304,mp-570002,mp-569416,mp-606949,mp-998866,mp-1181996,mp-990448,mp-632329,mp-1040425,mp-1097832,mp-1056957,mp-568363,mp-1008395,mp-1018088,mp-997182,mp-990424,mp-937760,mp-1008374,mp-2646980,mp-1080826,mp-24,mp-611426,mp-1078845,mp-568806,mp-1182029,mp-579909,mp-624889,mp-568410,mp-569517,mp-1095534,mp-1095633,mp-611448,mp-569567,mp-568286,mp-616440,mp-1190171,mp-2647017,mp-1205417,mp-1188817
energy,9.191884994506836,9.081070899963379,9.200221061706543,9.033616065979004,9.200521469116211,9.198348045349121,8.41028881072998,9.194048881530762,9.19571304321289,6.065600395202637,6.522589683532715,9.195313453674316,9.198846817016602,9.1962308883667,6.4054059982299805,6.52199649810791,9.200702667236328,8.913660049438477,8.316795349121094,9.195246696472168,9.198210716247559,9.19411563873291,8.778079986572266,8.571320533752441,8.872071266174316,8.402112007141113,9.061564445495605,8.950830459594727,9.196587562561035,8.053821563720703,8.36777114868164,8.200919151306152,8.713388442993164,9.065685272216797,8.102959632873535,8.150800704956055,9.068422317504883,9.070230484008789,9.190230369567871,9.071582794189453,8.8770170211792,9.061114311218262,8.041409492492676,8.555603981018066
band_gap,0.3163466229952747,1.0,0.06941665526278457,0.9143417938179201,0.1998001477887387,0.09927612498958208,0.1592837705639396,0.09802980626838172,0.03871346468453611,0.39948824996857496,0.52615333770168,0.10814810529946471,0.22180100555883228,0.05933703228592479,0.175878503175628,0.41423818936525314,0.11484883909486561,0.891509197690509,0.23029775499380312,0.10923789688557561,0.0766493908980092,0.23207757336659388,0.8147106990505801,0.33901538870386594,0.7562457879849535,0.7278298140291366,0.9628855712913003,0.808131752446037,0.2518155046089526,0.23585259312203444,0.2637426377617017,0.5077570974739439,0.527662806856058,0.9712773113493889,0.4486816365328226,0.3766732792540461,0.9763525013839665,0.9806316451028603,0.4520265637032929,0.983812672188847,0.7411641006983727,0.0,0.2294893314118924,0.5159244676515735
shear_modulus,0.21301735572625646,0.999150158295053,0.15839737458010342,0.9984237137961673,0.1589674365168182,0.17729828029832412,0.4359937735962585,0.194751247315595,0.18913405204668532,0.27236173282650367,0.35998815293414693,0.15437912983565047,0.17764240904878903,0.15769495418871401,0.22126158835218687,0.39580754559211356,0.15949624942866938,0.8375216515273172,0.2139528913721908,0.15428741278943056,0.17765266621733639,0.18466403434453174,0.48336397445317897,0.4124507552170519,0.8413861538680754,0.9645436790872138,0.999444976606755,0.9236784630770489,0.19618665963070475,0.0,0.2645492125729688,0.3371822802408847,0.5382928884582852,0.9998444740942786,0.14166786103864762,0.12801445023693722,0.9998671649913261,1.0,0.19736010555242076,0.9999745386008804,0.8474386787683725,0.16201923465281198,0.061597417429276984,0.6834573781468044
fmax,0.020457160367560224,1.2983439981115886e-05,0.004587704224331824,0.039185965880064316,4.537502340389573e-05,0.02496663431437206,0.12497210504351557,0.036384207086332346,0.03703917222830499,0.0,1.1928293587263968e-07,0.00574855956906024,0.17792138041942807,9.042025103565874e-05,0.0,0.005644054346203116,0.025300009156437472,0.16180898662968632,9.188699625856847e-06,4.331401293836295e-05,0.027923191690991483,0.01661217314054295,0.6199739585017282,0.3179216384918302,0.3941051723399849,0.12380790719821484,0.027462681647691577,0.3955905079744284,0.013746361207907763,0.13337018281609114,0.2646744253203456,0.48435986556093336,0.4587508440445729,0.04612993895804508,0.8787594003560207,0.42865640662352006,0.04445613424225808,0.04395726547540111,0.08237144819280733,0.031177729325430965,0.3355847493256547,0.1566684214813346,0.4282699784556768,0.30481581918497447
centroid_id,118,112,111,160,83,111,195,111,61,102,79,111,83,111,162,166,111,73,162,111,111,83,65,132,7,199,160,140,83,120,64,79,154,160,137,116,160,160,113,112,106,47,120,1
